,,RowID,Original_SMILES,DFT_opt_Charge_P,Origin,selfies,QED,SA_score
34,235,302,CCCC1CCCC1,0.476249,Initial,[C][C][C][C][C][C][C][C][Ring1][Branch1],0.6572210333109991,4.087839298440951
35,236,303,CCC12CC1C2,0.473592,Initial,[C][C][C][C][C][Ring1][Ring1][C][Ring1][Ring2],0.6206244055166621,5.182012915245245
36,237,304,CCCC=CC(C)=C,0.489095,Initial,[C][C][C][C][=C][C][Branch1][C][C][=C],0.3849591645099266,4.172203454412348
37,238,306,CCCC12CC1CC2,0.477901,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][C][Ring1][Branch1],0.6589235142459635,5.089950745023533
38,241,309,CCCCCC1CC1,0.477012,Initial,[C][C][C][C][C][C][C][C][Ring1][Ring1],0.49031118845476807,4.135220836902489
39,244,312,CCC1CCC1,0.480215,Initial,[C][C][C][C][C][C][Ring1][Ring2],0.6238268901615159,4.307065364077591
40,250,318,CC1CC21CCC2,0.479609,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring2],0.6284386355547685,5.2947619088023785
41,251,319,CC12CC=CCC1C2,0.482204,Initial,[C][C][C][C][=C][C][C][Ring1][=Branch1][C][Ring1][#Branch1],0.5097975248843123,4.999820195572984
42,253,321,CCC1CC2CC21,0.478652,Initial,[C][C][C][C][C][C][C][Ring1][Ring1][Ring1][Branch1],0.642290372304157,5.237413490488479
43,255,323,CC12CC1CC=CC2,0.473758,Initial,[C][C][C][C][Ring1][Ring1][C][C][=C][C][Ring1][#Branch1],0.5097975248843123,5.0844399757927645
44,256,324,CC12C3CC3C1C2,0.480777,Initial,[C][C][C][C][C][Ring1][Ring1][C][Ring1][Branch1][C][Ring1][=Branch1],0.6249206496200197,5.2914263475814245
45,257,325,CC1CCC2CC12,0.481902,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][Ring1][Ring1],0.6284386355547685,5.013261567411556
46,258,326,CCC12CCC1C2,0.479156,Initial,[C][C][C][C][C][C][Ring1][Ring2][C][Ring1][Branch1],0.642290372304157,4.951040413565401
47,259,327,CC12CC1(C2),0.481964,Initial,[C][C][C][C][Ring1][Ring1][C][Ring1][Ring2],0.5852777466170058,4.638337822210255
48,261,329,CC1C2CCC2C1,0.480984,Initial,[C][C][C][C][C][C][Ring1][Ring2][C][Ring1][=Branch1],0.6285930966187423,4.845147619631344
49,262,330,CC1CC2C1CC2,0.475772,Initial,[C][C][C][C][C][Ring1][Ring2][C][C][Ring1][Ring2],0.6285930966187423,4.952515888862114
50,263,331,CC1C2CCCC1CC2,0.480335,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][#Branch1],0.6641629065810898,5.339272070491047
51,265,333,CCCC1C2CC12,0.48453,Initial,[C][C][C][C][C][C][C][Ring1][Ring2][Ring1][Ring1],0.6397991225482218,5.0862783943346335
52,267,335,CC1CCCC=C1C=C,0.481799,Initial,[C][C][C][C][C][C][=C][Ring1][=Branch1][C][=C],0.5271443835853444,4.709427019352561
53,270,338,CC1CCCC1(C),0.477742,Initial,[C][C][C][C][C][C][Ring1][Branch1][C],0.6296928136391596,4.512416685876827
54,271,339,CC1=CC=CCC=C1,0.482975,Initial,[C][C][=C][C][=C][C][C][=C][Ring1][#Branch1],0.6393890163457825,4.418352930818295
55,272,340,CC1(C)C2CC2C1,0.479945,Initial,[C][C][Branch1][C][C][C][C][C][Ring1][Ring1][C][Ring1][=Branch1],0.6285930966187423,4.986303999173343
56,273,341,CCC1(C)CCC1,0.479429,Initial,[C][C][C][Branch1][C][C][C][C][C][Ring1][Branch1],0.6435721943678945,4.617575991087746
57,274,342,CC12C3CC1C23,0.484993,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Branch1][Ring1][Ring2],0.6026441394351199,5.7014564205683
58,278,347,CC1CCC1C(C),0.476798,Initial,[C][C][C][C][C][Ring1][Ring2][C][C],0.6444912401076673,4.608504991729173
59,279,348,CC1=CCC2C1CC2,0.476245,Initial,[C][C][=C][C][C][C][Ring1][Branch1][C][C][Ring1][Ring2],0.5097975248843123,4.8402452505180396
60,282,351,CC1C2C1CCC2,0.473867,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Branch1],0.6285930966187424,4.945566850400574
61,283,352,CC12CC1=CC2,0.475711,Initial,[C][C][C][C][Ring1][Ring1][=C][C][Ring1][Branch1],0.47692718015363733,5.300159263281836
62,284,353,CCC12CC1CC2,0.477494,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][Ring1][Branch1],0.642290372304157,5.146426952026941
63,285,354,CC1C2C(C=C12),0.475503,Initial,[C][C][C][C][C][=C][Ring1][Branch1][Ring1][Ring2],0.4765233655015177,5.392842092964078
64,289,358,CC(CCC1CC1),0.474921,Initial,[C][C][C][C][C][C][C][Ring1][Ring1],0.6269256084649784,3.9312176411437463
65,291,360,CC12CCCC1CC2,0.477243,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][#Branch1],0.6472234481635698,4.525719975792764
66,292,361,CC1CC2CCC12,0.482443,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][Ring1][Ring2],0.6284386355547686,5.0788620481807865
67,295,367,CCC1C2CC1C2,0.478536,Initial,[C][C][C][C][C][C][Ring1][Ring2][C][Ring1][Ring2],0.6424482379232855,5.2754540559353185
68,297,369,CC1CC=CC21CC2,0.483396,Initial,[C][C][C][C][=C][C][Ring1][Branch1][C][C][Ring1][Ring1],0.5097975248843123,5.7511144752835515
69,298,370,CC12C3CCC1CC23,0.480255,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][#Branch1][Ring1][=Branch1],0.6461144590380804,5.256482140649915
70,300,372,CCC1CCC2CC21,0.481928,Initial,[C][C][C][C][C][C][C][C][Ring1][Ring1][Ring1][=Branch1],0.6614892305562754,4.957510305463094
71,301,373,CC1C23CC21C3,0.488671,Initial,[C][C][C][C][C][Ring1][Ring1][Ring1][Ring2][C][Ring1][Ring2],0.6026441394351199,5.423840544070012
72,302,374,CC12CC3CC3C1C2,0.48165,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][Ring1][=Branch1][C][Ring1][#Branch1],0.6462732645620338,5.33800978343516
73,305,378,CC1CC2CC(C1)C2,0.474755,Initial,[C][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][Branch1],0.6481477080335912,5.0950379588220205
74,307,380,CCC1CC2C(CC21),0.479584,Initial,[C][C][C][C][C][C][C][C][Ring1][Ring2][Ring1][=Branch1],0.6624338625098755,4.873952470320245
75,311,385,CC1(C)C2CC2CC1,0.477853,Initial,[C][C][Branch1][C][C][C][C][C][Ring1][Ring1][C][C][Ring1][#Branch1],0.6481477080335912,5.020962923433359
76,312,386,CC1CC2(CC21),0.482885,Initial,[C][C][C][C][C][C][Ring1][Ring1][Ring1][Branch1],0.6072399204672873,5.309316363521107
77,315,390,CCC1CC21CCC2,0.47681,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring2],0.6614892305562754,5.362100848909924
78,317,392,CCC12CC1CCC2,0.472847,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][C][Ring1][=Branch1],0.6614892305562754,4.90010415161694
79,318,393,CC12CC1C1CC1C2,0.472651,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring1][C][Ring1][#Branch1],0.6462732645620338,5.208330662556039
80,321,396,CC1(C)C2CC12,0.481817,Initial,[C][C][Branch1][C][C][C][C][C][Ring1][Branch1][Ring1][Ring1],0.6072399204672873,4.969555196084665
81,322,397,CCCCC1C2CC12,0.483497,Initial,[C][C][C][C][C][C][C][C][Ring1][Ring2][Ring1][Ring1],0.6443792040562581,4.896258876891665
82,324,399,CC1(CC21CC2),0.479917,Initial,[C][C][C][C][Ring1][Ring1][C][C][Ring1][Ring1],0.607448672061755,5.353064704960296
83,326,401,CC12CCC1CCC2,0.475945,Initial,[C][C][C][C][C][Ring1][Ring2][C][C][C][Ring1][#Branch1],0.6472234481635698,4.470588547221336
84,327,402,CCC1CC2CCC21,0.481917,Initial,[C][C][C][C][C][C][C][C][Ring1][Ring2][Ring1][=Branch1],0.6614892305562754,4.970778876891665
85,328,403,CC1C2C=CC1C2,0.477147,Initial,[C][C][C][C][=C][C][Ring1][Branch1][C][Ring1][Branch1],0.4938205838577939,5.671743959781471
86,331,406,CC1CC2CC1CC2,0.473469,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][Branch1],0.6481477080335912,5.518904097734282
87,336,411,CC1CCC2CC1C2,0.476966,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][Ring2],0.6481477080335911,5.3650179438881285
88,338,413,CC1(CCCC2CC12),0.474328,Initial,[C][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][Ring1],0.6472234481635698,4.7231938219466105
89,339,414,CC1(CC=CC=CC1),0.47594,Initial,[C][C][C][C][=C][C][=C][C][Ring1][#Branch1],0.643604403877008,4.5233305132358765
90,342,417,CC12CC1C2C,0.480305,Initial,[C][C][C][C][Ring1][Ring1][C][Ring1][Ring2][C],0.6202155691695331,4.904386276366883
91,343,418,CC1=CCC=C1CC,0.477337,Initial,[C][C][=C][C][C][=C][Ring1][Branch1][C][C],0.6552240839219426,4.417684359389723
92,346,421,CC1CCC2(C)C1C2,0.481395,Initial,[C][C][C][C][C][Branch1][C][C][C][Ring1][=Branch1][C][Ring1][Ring2],0.6481477080335911,4.899286277689345
93,347,422,CC1=CCC2CC12,0.473586,Initial,[C][C][=C][C][C][C][C][Ring1][=Branch1][Ring1][Ring1],0.49394257669729014,5.101702991708093
94,352,429,CC1(CCC2CCC12),0.478276,Initial,[C][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][Ring2],0.6472234481635698,4.5913388768916645
95,353,431,CC1CC(CC2CC12),0.472113,Initial,[C][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][Ring1],0.6481477080335912,4.720647854935629
96,354,432,CC12CCCC1C2(C),0.480787,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][Ring1][=Branch1][C],0.6472234481635698,4.895842561442409
97,356,434,CC1C2CC12C=C,0.486682,Initial,[C][C][C][C][C][Ring1][Ring2][Ring1][Ring1][C][=C],0.5047651007580694,5.513118887510812
98,358,436,CC1C=CC(C=CC=1),0.478599,Initial,[C][C][C][=C][C][C][=C][C][=Ring1][#Branch1],0.6422902888350802,4.833013355444843
99,360,438,CCCC1CC1=CC=C,0.485019,Initial,[C][C][C][C][C][C][Ring1][Ring1][=C][C][=C],0.5135093099426554,4.858440784534747
100,361,439,CC1C2CC12C(C),0.47543,Initial,[C][C][C][C][C][Ring1][Ring2][Ring1][Ring1][C][C],0.6424482379232855,5.3265186773236515
101,363,441,CC1CCC2CC1CC2,0.478699,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][Branch1],0.6641629065810898,5.32428907453963
102,364,442,CC1CC23CC21C3,0.478572,Initial,[C][C][C][C][C][C][Ring1][Ring1][Ring1][Branch1][C][Ring1][Ring2],0.6253383327302304,5.661871658092883
103,367,445,CC=CC=CC1CCC1,0.47602,Initial,[C][C][=C][C][=C][C][C][C][C][Ring1][Ring2],0.5307801811616537,4.829796444130045
104,368,446,CCC1=CC=CCCC1,0.478619,Initial,[C][C][C][=C][C][=C][C][C][C][Ring1][#Branch1],0.6722962633897743,4.473076816923411
105,369,447,CC1C(C)C(C=C1C),0.473725,Initial,[C][C][C][Branch1][C][C][C][C][=C][Ring1][=Branch1][C],0.5109295538921097,4.900314301467089
106,370,448,CC1C(CC21CCC2),0.475072,Initial,[C][C][C][C][C][Ring1][Ring2][C][C][C][Ring1][Ring2],0.6472234481635698,5.190618193536132
107,371,449,CC12CCCCC1CC2,0.476912,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][Branch2],0.662031345248549,4.353615571452941
108,374,452,CCCC1CCC2CC21,0.481237,Initial,[C][C][C][C][C][C][C][C][C][Ring1][Ring1][Ring1][=Branch1],0.6739990984410548,4.8527876362302695
109,377,455,CC1CC2CCC1CC2,0.475928,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1],0.6641629065810898,5.319337252677283
110,382,461,CC(CC12CC1C2),0.473286,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][Ring1][Ring2],0.6397991225482218,4.6728879140966
111,384,463,CCCC1CC2C(CC21),0.480522,Initial,[C][C][C][C][C][C][C][C][C][Ring1][Ring2][Ring1][=Branch1],0.6761691926922035,4.744557620636291
112,387,466,CC1CC2(CC2)C1,0.480027,Initial,[C][C][C][C][Branch1][Branch1][C][C][Ring1][Ring1][C][Ring1][=Branch1],0.6284386355547685,5.214878069451272
113,390,470,CC1CC2C1C2C=C,0.489211,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Ring1][C][=C],0.5208116402850992,5.322615327463101
114,391,471,CC1CC2(C1)CC2,0.479191,Initial,[C][C][C][C][Branch1][Ring2][C][Ring1][Ring2][C][C][Ring1][Ring2],0.6284386355547685,5.090494905611494
115,393,473,CCC1C=C2CCC21,0.478604,Initial,[C][C][C][C][=C][C][C][C][Ring1][Ring2][Ring1][=Branch1],0.5204364721338965,5.283834463276115
116,395,475,CCC1C2CC2C1,0.476067,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][Ring1][Branch1],0.6424482379232855,5.0041836773236525
117,396,476,CC12CC(CC1C=C2),0.475806,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][=C][Ring1][#Branch1],0.5097975248843123,5.289248327441117
118,398,478,CCC1C2CCC2CC1,0.479843,Initial,[C][C][C][C][C][C][C][Ring1][Ring2][C][C][Ring1][#Branch1],0.6788020602234315,4.688316729948033
119,400,480,CC1CC2CC1(C2),0.481344,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][Ring1][Ring2],0.6284386355547686,5.355154266785364
120,401,481,CC12CCC1C2C=C,0.481306,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Branch1][C][=C],0.5201044214846163,5.009877855560054
121,402,482,CC1C2C3CC12C3,0.481194,Initial,[C][C][C][C][C][C][Ring1][Branch1][Ring1][Ring2][C][Ring1][Ring2],0.6249206496200197,6.802294425035699
122,403,483,CC1CC2C1CCC2,0.477728,Initial,[C][C][C][C][C][Ring1][Ring2][C][C][C][Ring1][Branch1],0.6481477080335912,4.707043019770795
123,404,484,CC1CC1C(C)(C),0.478598,Initial,[C][C][C][C][Ring1][Ring1][C][Branch1][C][C][C],0.6444912401076675,4.648150886270427
124,408,488,CC1(CC21CCC2),0.483464,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring2],0.6280399002280711,5.158327659953924
125,409,489,CC1=CC=CCCC1CC,0.476796,Initial,[C][C][=C][C][=C][C][C][C][Ring1][#Branch1][C][C],0.681956001563929,4.338738908640898
126,412,492,CC1(C)C2C=CC1C2,0.480851,Initial,[C][C][Branch1][C][C][C][C][=C][C][Ring1][=Branch1][C][Ring1][Branch1],0.510153577829645,5.5692210228168495
127,414,494,CCC12CCCC1CC2,0.475939,Initial,[C][C][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][#Branch1],0.6766235160595163,4.757518810319338
128,415,495,CC12CC3C1C23,0.486964,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Branch1][Ring1][Ring1],0.6026441394351199,6.120477651055653
129,420,500,CCC=CCC1CC1,0.479387,Initial,[C][C][C][=C][C][C][C][C][Ring1][Ring1],0.5076212508537594,4.660642814924467
130,421,502,CC=CC1C2CCC2CC1,0.477973,Initial,[C][C][=C][C][C][C][C][C][Ring1][Ring2][C][C][Ring1][#Branch1],0.546320882860496,4.812656613706597
131,422,503,CCC1CCC2CC1C2,0.47745,Initial,[C][C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring1][Ring2],0.6788020602234315,5.352305673729914
132,425,506,CC1C2CCC1C2C=C,0.483264,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][Ring1][Branch1][C][=C],0.534013498277413,5.652972432446338
133,426,507,CC1C2CC2C2C1C2,0.483458,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][Ring1][=Branch1][C][Ring1][Ring1],0.6462037489962407,5.3828324792504185
134,427,508,CC1C=CC(CC1C),0.474654,Initial,[C][C][C][=C][C][C][C][Ring1][=Branch1][C],0.5109295538921097,4.907782832935621
135,430,511,CC1(CC21CCC2C),0.480748,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Ring2][C],0.6472234481635698,5.484838392542763
136,431,512,CC1CC2C1CC2(C),0.480313,Initial,[C][C][C][C][C][Ring1][Ring2][C][C][Ring1][Ring2][C],0.6481477080335912,5.017793065019662
137,433,514,CC12C3CC1C2(C)C3,0.48089,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Branch1][Branch1][C][C][C][Ring1][=Branch1],0.6462732645620338,5.493786809938069
138,434,515,CC12C3CCC1CC2C3,0.478589,Initial,[C][C][C][C][C][C][Ring1][Branch1][C][C][Ring1][#Branch1][C][Ring1][#Branch1],0.664931490162928,4.997453175509449
139,436,517,CCC1CC23CC21C3,0.480053,Initial,[C][C][C][C][C][C][C][Ring1][Ring1][Ring1][Branch1][C][Ring1][Ring2],0.6603557976353935,5.513213569221342
140,437,518,CCCC12CC1C2C,0.476794,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][Ring1][Ring2][C],0.6452909906966213,5.128541953814743
141,438,519,CCC1C2C(CCC21),0.475276,Initial,[C][C][C][C][C][C][C][C][Ring1][Branch1][Ring1][=Branch1],0.6624338625098755,4.90360697581475
142,439,520,CCC1CCC2CC1CC2,0.473359,Initial,[C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][Branch1],0.6894677283830403,5.310414748759339
143,440,521,CC1CC1C1C2CC12,0.487348,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][C][Ring1][Ring2][Ring1][Ring1],0.6605181034729619,5.3495709728339955
144,441,522,CC12CC1CCC(C2),0.473058,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][C][Ring1][#Branch1],0.6472234481635698,4.7518039318367205
145,446,527,CC1(CC2CC2CC1),0.477826,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][C][Ring1][#Branch1],0.6472234481635698,4.808027228540016
146,449,530,CC1CC21CC=CCC2,0.479109,Initial,[C][C][C][C][Ring1][Ring1][C][C][=C][C][C][Ring1][=Branch1],0.5230647256119927,5.489584535796088
147,450,531,CCC12CCCCC1CC2,0.476023,Initial,[C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][Branch2],0.6853627810893402,4.585230798353601
148,455,536,CCC1CC=CC21CC2,0.484671,Initial,[C][C][C][C][C][=C][C][Ring1][Branch1][C][C][Ring1][Ring1],0.534593862224786,5.673283014841935
149,458,540,CCC1CC2CC1CCC2,0.475014,Initial,[C][C][C][C][C][C][C][Ring1][Branch1][C][C][C][Ring1][=Branch1],0.6894677283830403,5.22872244106703
150,459,541,CCC1CC2CCC1CC2,0.472859,Initial,[C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1],0.6894677283830403,5.2097025536373875
151,460,542,CC1CC2(C1)CCC2,0.479437,Initial,[C][C][C][C][Branch1][Ring2][C][Ring1][Ring2][C][C][C][Ring1][Branch1],0.6472234481635698,4.8324134270106125
152,462,544,CC12CC(C1)C12CC1,0.478779,Initial,[C][C][C][C][Branch1][Ring2][C][Ring1][Ring2][C][Ring1][Branch1][C][C][Ring1][Ring1],0.6461144590380804,6.1920096140981995
153,464,546,CC1(C)C2CC2CCC1C,0.475695,Initial,[C][C][Branch1][C][C][C][C][C][Ring1][Ring1][C][C][C][Ring1][Branch2][C],0.6927672299082934,4.689241586346096
154,465,547,CC1CC2CC32C1C3,0.480801,Initial,[C][C][C][C][C][C][Ring1][Ring1][C][Ring1][=Branch1][C][Ring1][Ring1],0.6462732645620338,5.7975537334753975
155,466,548,CC1C2CC3CC32C1,0.477349,Initial,[C][C][C][C][C][C][C][Ring1][Ring1][Ring1][Branch1][C][Ring1][#Branch1],0.6462732645620338,5.846122085123748
156,467,549,CC1C2CC3CC12C3,0.481308,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1][Ring1][Branch1][C][Ring1][Ring2],0.6462732645620338,6.6575005257246005
157,468,550,CC1CC2C3C(CC123),0.475414,Initial,[C][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][Branch1][Ring1][Ring2],0.6462732645620338,5.9112504367721
158,471,553,CC1CC2C3CC23C1,0.47191,Initial,[C][C][C][C][C][C][C][Ring1][Ring2][Ring1][Ring1][C][Ring1][#Branch1],0.6462732645620338,5.922628019189684
159,473,555,CCC1CCCCC21CC2,0.487309,Initial,[C][C][C][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][Ring1],0.6853627810893402,5.087046814863954
160,478,560,CC1CCC2C(C1)C2,0.480939,Initial,[C][C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][Ring2],0.6481477080335911,4.663926096693871
161,481,563,CC12CC(CC)C1(C2),0.48766,Initial,[C][C][C][C][Branch1][Ring1][C][C][C][Ring1][=Branch1][C][Ring1][#Branch1],0.6614892305562754,5.27218102298087
162,482,564,CCC1=CCC2C1CC2,0.47757,Initial,[C][C][C][=C][C][C][C][Ring1][Branch1][C][C][Ring1][Ring2],0.534593862224786,4.958091279954966
163,483,565,CCC12CC1CC=CC2,0.473542,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][=C][C][Ring1][#Branch1],0.534593862224786,5.135190875096666
164,486,569,CCC1=CCCCCC=C1,0.482048,Initial,[C][C][C][=C][C][C][C][C][C][=C][Ring1][Branch2],0.6650085159780482,4.001137878278623
165,489,572,CCC12CC=CCC1C2,0.47968,Initial,[C][C][C][C][C][=C][C][C][Ring1][=Branch1][C][Ring1][#Branch1],0.534593862224786,5.073732170643224
166,490,573,CC1(C)CC2CCC12,0.476396,Initial,[C][C][Branch1][C][C][C][C][C][C][C][Ring1][#Branch1][Ring1][Ring2],0.6472234481635698,4.8636323171869105
167,491,574,CCC1CCC21C1CC2C1,0.477705,Initial,[C][C][C][C][C][C][Ring1][Ring2][C][C][C][Ring1][Ring2][C][Ring1][Ring2],0.6944920502381596,6.049593317646527
168,493,576,CC1CC(CC)C(C=C1),0.476753,Initial,[C][C][C][C][Branch1][Ring1][C][C][C][C][=C][Ring1][Branch2],0.5339783813243313,4.791124292319557
169,494,577,CC1CC2(C1)CC(C2),0.475694,Initial,[C][C][C][C][Branch1][Ring2][C][Ring1][Ring2][C][C][C][Ring1][Branch1],0.6472234481635698,4.546954982756633
